Identificador único del municipio,Clave de entidad federativa,Entidad federativa,Clave de municipio o delegación,Municipio o delegación,Estimador,Porcentaje de población de 20 años y más con obesidad.,Porcentaje de población de 20 años y más con diagnóstico previo de hipertensión.,Porcentaje de población de 20 años y más con diagnóstico previo de diabetes.
1000,1,Aguascalientes,0,Total,Valor,32.6,14.7,7.6
1000,1,Aguascalientes,0,Total,Error estándar,2.2,1,0.8
1000,1,Aguascalientes,0,Total,Límite inferior de confianza,28.9,13.1,6.2
1000,1,Aguascalientes,0,Total,Límite superior de confianza,36.3,16.3,8.9
1000,1,Aguascalientes,0,Total,Coeficiente de variación,6.9,6.6,7.6
1001,1,Aguascalientes,1,Aguascalientes,Valor,31.5,14.9,7.5
1001,1,Aguascalientes,1,Aguascalientes,Error estándar,2.3,1.2,0.7
1001,1,Aguascalientes,1,Aguascalientes,Límite inferior de confianza,27.6,13,6.3
1001,1,Aguascalientes,1,Aguascalientes,Límite superior de confianza,35.3,16.9,8.7
1001,1,Aguascalientes,1,Aguascalientes,Coeficiente de variación,7.4,7.9,9.7
1002,1,Aguascalientes,2,Asientos,Valor,32.3,15.3,8
1002,1,Aguascalientes,2,Asientos,Error estándar,3.8,2.6,1
1002,1,Aguascalientes,2,Asientos,Límite inferior de confianza,26,11,6.2
1002,1,Aguascalientes,2,Asientos,Límite superior de confianza,38.6,19.7,9.7
1002,1,Aguascalientes,2,Asientos,Coeficiente de variación,11.8,17.2,13.1
1003,1,Aguascalientes,3,Calvillo,Valor,40,13.8,9.2
1003,1,Aguascalientes,3,Calvillo,Error estándar,2.5,2.2,0.9
1003,1,Aguascalientes,3,Calvillo,Límite inferior de confianza,35.9,10.2,7.7
1003,1,Aguascalientes,3,Calvillo,Límite superior de confianza,44.1,17.3,10.7
1003,1,Aguascalientes,3,Calvillo,Coeficiente de variación,6.2,15.9,10.1
1004,1,Aguascalientes,4,Cosío,Valor,32.6,16.4,7.4
1004,1,Aguascalientes,4,Cosío,Error estándar,4.1,2.5,1
1004,1,Aguascalientes,4,Cosío,Límite inferior de confianza,25.9,12.3,5.7
1004,1,Aguascalientes,4,Cosío,Límite superior de confianza,39.3,20.6,9
1004,1,Aguascalientes,4,Cosío,Coeficiente de variación,12.5,15.5,13.6
1005,1,Aguascalientes,5,Jesús María,Valor,34.7,12.4,6.7
1005,1,Aguascalientes,5,Jesús María,Error estándar,3.6,1.7,1
1005,1,Aguascalientes,5,Jesús María,Límite inferior de confianza,28.8,9.5,5.1
1005,1,Aguascalientes,5,Jesús María,Límite superior de confianza,40.7,15.2,8.4
1005,1,Aguascalientes,5,Jesús María,Coeficiente de variación,10.4,13.9,14.5
1006,1,Aguascalientes,6,Pabellón de Arteaga,Valor,24.1,12.8,7.4
1006,1,Aguascalientes,6,Pabellón de Arteaga,Error estándar,1.9,2.2,1
1006,1,Aguascalientes,6,Pabellón de Arteaga,Límite inferior de confianza,20.9,9.3,5.7
1006,1,Aguascalientes,6,Pabellón de Arteaga,Límite superior de confianza,27.3,16.4,9.1
1006,1,Aguascalientes,6,Pabellón de Arteaga,Coeficiente de variación,8.1,16.9,13.7
1007,1,Aguascalientes,7,Rincón de Romos,Valor,31.7,14.3,6.9
1007,1,Aguascalientes,7,Rincón de Romos,Error estándar,3.8,2.2,1.1
1007,1,Aguascalientes,7,Rincón de Romos,Límite inferior de confianza,25.5,10.7,5.1
1007,1,Aguascalientes,7,Rincón de Romos,Límite superior de confianza,38,18,8.7
1007,1,Aguascalientes,7,Rincón de Romos,Coeficiente de variación,11.9,15.4,15.7
1008,1,Aguascalientes,8,San José de Gracia,Valor,31.3,14.9,6.2
1008,1,Aguascalientes,8,San José de Gracia,Error estándar,3.9,2.5,1.1
1008,1,Aguascalientes,8,San José de Gracia,Límite inferior de confianza,24.9,10.8,4.4
1008,1,Aguascalientes,8,San José de Gracia,Límite superior de confianza,37.7,19.1,8
1008,1,Aguascalientes,8,San José de Gracia,Coeficiente de variación,12.4,16.8,17.6
1009,1,Aguascalientes,9,Tepezalá,Valor,32,14.7,7.2
1009,1,Aguascalientes,9,Tepezalá,Error estándar,4.1,2.6,1
1009,1,Aguascalientes,9,Tepezalá,Límite inferior de confianza,25.2,10.5,5.6
1009,1,Aguascalientes,9,Tepezalá,Límite superior de confianza,38.7,18.9,8.9
1009,1,Aguascalientes,9,Tepezalá,Coeficiente de variación,12.8,17.5,13.9
1010,1,Aguascalientes,10,El Llano,Valor,35.1,16.6,7.6
1010,1,Aguascalientes,10,El Llano,Error estándar,4.1,2.6,1
1010,1,Aguascalientes,10,El Llano,Límite inferior de confianza,28.4,12.4,6
1010,1,Aguascalientes,10,El Llano,Límite superior de confianza,41.8,20.8,9.3
1010,1,Aguascalientes,10,El Llano,Coeficiente de variación,11.6,15.4,13
1011,1,Aguascalientes,11,San Francisco de los Romo,Valor,39.3,11.9,7.2
1011,1,Aguascalientes,11,San Francisco de los Romo,Error estándar,3.9,2.4,1.2
1011,1,Aguascalientes,11,San Francisco de los Romo,Límite inferior de confianza,32.9,7.9,5.2
1011,1,Aguascalientes,11,San Francisco de los Romo,Límite superior de confianza,45.7,15.8,9.2
1011,1,Aguascalientes,11,San Francisco de los Romo,Coeficiente de variación,9.9,20.1,16.9
2000,2,Baja California,0,Total,Valor,48.4,21,10
2000,2,Baja California,0,Total,Error estándar,4.3,1.5,1
2000,2,Baja California,0,Total,Límite inferior de confianza,41.3,18.5,8.3
2000,2,Baja California,0,Total,Límite superior de confianza,55.4,23.5,11.6
2000,2,Baja California,0,Total,Coeficiente de variación,8.9,7.3,10
2001,2,Baja California,1,Ensenada,Valor,50.2,22.2,9.8
2001,2,Baja California,1,Ensenada,Error estándar,3.7,2,0.9
2001,2,Baja California,1,Ensenada,Límite inferior de confianza,44.1,19,8.2
2001,2,Baja California,1,Ensenada,Límite superior de confianza,56.2,25.5,11.3
2001,2,Baja California,1,Ensenada,Coeficiente de variación,7.3,9,9.6
2002,2,Baja California,2,Mexicali,Valor,57.8,25.1,11.5
2002,2,Baja California,2,Mexicali,Error estándar,3.2,2,1
2002,2,Baja California,2,Mexicali,Límite inferior de confianza,52.5,21.7,9.9
2002,2,Baja California,2,Mexicali,Límite superior de confianza,63,28.5,13
2002,2,Baja California,2,Mexicali,Coeficiente de variación,5.5,8.2,8.4
2003,2,Baja California,3,Tecate,Valor,56.1,20.1,10.1
2003,2,Baja California,3,Tecate,Error estándar,4.2,2.5,1
2003,2,Baja California,3,Tecate,Límite inferior de confianza,49.2,15.9,8.5
2003,2,Baja California,3,Tecate,Límite superior de confianza,63,24.3,11.7
2003,2,Baja California,3,Tecate,Coeficiente de variación,7.5,12.7,9.6
2004,2,Baja California,4,Tijuana,Valor,48.2,21.2,10.5
2004,2,Baja California,4,Tijuana,Error estándar,3.6,1.6,0.9
2004,2,Baja California,4,Tijuana,Límite inferior de confianza,42.4,18.5,9
2004,2,Baja California,4,Tijuana,Límite superior de confianza,54.1,23.9,12
2004,2,Baja California,4,Tijuana,Coeficiente de variación,7.4,7.8,8.6
2005,2,Baja California,5,Playas de Rosarito,Valor,49.9,20.4,10.6
2005,2,Baja California,5,Playas de Rosarito,Error estándar,4.1,2.2,1.1
2005,2,Baja California,5,Playas de Rosarito,Límite inferior de confianza,43.2,16.7,8.8
2005,2,Baja California,5,Playas de Rosarito,Límite superior de confianza,56.6,24,12.3
2005,2,Baja California,5,Playas de Rosarito,Coeficiente de variación,8.2,10.9,10
3000,3,Baja California Sur,0,Total,Valor,42.8,16.5,8.4
3000,3,Baja California Sur,0,Total,Error estándar,2.5,1.2,0.7
3000,3,Baja California Sur,0,Total,Límite inferior de confianza,38.7,14.6,7.2
3000,3,Baja California Sur,0,Total,Límite superior de confianza,47,18.5,9.6
3000,3,Baja California Sur,0,Total,Coeficiente de variación,5.9,7.3,8.4
3001,3,Baja California Sur,1,Comondú,Valor,57.7,24.5,14.8
3001,3,Baja California Sur,1,Comondú,Error estándar,2.7,2.4,0.7
3001,3,Baja California Sur,1,Comondú,Límite inferior de confianza,53.2,20.5,13.8
3001,3,Baja California Sur,1,Comondú,Límite superior de confianza,62.1,28.5,15.9
3001,3,Baja California Sur,1,Comondú,Coeficiente de variación,4.7,9.8,4.4
3002,3,Baja California Sur,2,Mulegé,Valor,44.1,18.1,10.3
3002,3,Baja California Sur,2,Mulegé,Error estándar,2.2,2,1
3002,3,Baja California Sur,2,Mulegé,Límite inferior de confianza,40.5,14.8,8.7
3002,3,Baja California Sur,2,Mulegé,Límite superior de confianza,47.6,21.5,11.9
3002,3,Baja California Sur,2,Mulegé,Coeficiente de variación,4.9,11.2,9.4
3003,3,Baja California Sur,3,La Paz,Valor,48.5,23.9,9.7
3003,3,Baja California Sur,3,La Paz,Error estándar,2.7,1.7,0.8
3003,3,Baja California Sur,3,La Paz,Límite inferior de confianza,44,21,8.3
3003,3,Baja California Sur,3,La Paz,Límite superior de confianza,52.9,26.7,11.1
3003,3,Baja California Sur,3,La Paz,Coeficiente de variación,5.6,7.3,8.6
3008,3,Baja California Sur,8,Los Cabos,Valor,46.6,11.7,7.5
3008,3,Baja California Sur,8,Los Cabos,Error estándar,3,1.1,0.8
3008,3,Baja California Sur,8,Los Cabos,Límite inferior de confianza,41.6,9.8,6.3
3008,3,Baja California Sur,8,Los Cabos,Límite superior de confianza,51.6,13.5,8.8
3008,3,Baja California Sur,8,Los Cabos,Coeficiente de variación,6.5,9.7,10.1
3009,3,Baja California Sur,9,Loreto,Valor,50.9,22.1,9.6
3009,3,Baja California Sur,9,Loreto,Error estándar,4.2,2.5,1
3009,3,Baja California Sur,9,Loreto,Límite inferior de confianza,44,18,8
3009,3,Baja California Sur,9,Loreto,Límite superior de confianza,57.8,26.2,11.3
3009,3,Baja California Sur,9,Loreto,Coeficiente de variación,8.3,11.3,10.4
4000,4,Campeche,0,Total,Valor,44.9,26.1,14
4000,4,Campeche,0,Total,Error estándar,2.5,1.5,1
4000,4,Campeche,0,Total,Límite inferior de confianza,40.8,23.6,12.3
4000,4,Campeche,0,Total,Límite superior de confianza,49,28.6,15.7
4000,4,Campeche,0,Total,Coeficiente de variación,5.5,5.7,14
4001,4,Campeche,1,Calkiní,Valor,43.7,23.3,14.1
4001,4,Campeche,1,Calkiní,Error estándar,3.2,2.4,1.1
4001,4,Campeche,1,Calkiní,Límite inferior de confianza,38.4,19.4,12.3
4001,4,Campeche,1,Calkiní,Límite superior de confianza,48.9,27.3,15.9
4001,4,Campeche,1,Calkiní,Coeficiente de variación,7.3,10.3,7.7
4002,4,Campeche,2,Campeche,Valor,43.2,30.9,15
4002,4,Campeche,2,Campeche,Error estándar,3.2,2,0.9
4002,4,Campeche,2,Campeche,Límite inferior de confianza,37.9,27.7,13.5
4002,4,Campeche,2,Campeche,Límite superior de confianza,48.4,34.1,16.6
4002,4,Campeche,2,Campeche,Coeficiente de variación,7.4,6.3,6.2
4003,4,Campeche,3,Carmen,Valor,50.3,27,14.4
4003,4,Campeche,3,Carmen,Error estándar,3,2.1,1
4003,4,Campeche,3,Carmen,Límite inferior de confianza,45.4,23.6,12.7
4003,4,Campeche,3,Carmen,Límite superior de confianza,55.3,30.4,16
4003,4,Campeche,3,Carmen,Coeficiente de variación,6,7.6,7.1
4004,4,Campeche,4,Champotón,Valor,47.3,23.6,13.4
4004,4,Campeche,4,Champotón,Error estándar,3.6,2.3,1
4004,4,Campeche,4,Champotón,Límite inferior de confianza,41.3,19.8,11.8
4004,4,Campeche,4,Champotón,Límite superior de confianza,53.3,27.4,15
4004,4,Campeche,4,Champotón,Coeficiente de variación,7.7,9.9,7.2
4005,4,Campeche,5,Hecelchakán,Valor,41.3,20.3,13.1
4005,4,Campeche,5,Hecelchakán,Error estándar,3.9,2.1,1
4005,4,Campeche,5,Hecelchakán,Límite inferior de confianza,34.9,16.9,11.4
4005,4,Campeche,5,Hecelchakán,Límite superior de confianza,47.6,23.7,14.8
4005,4,Campeche,5,Hecelchakán,Coeficiente de variación,9.3,10.3,7.9
4006,4,Campeche,6,Hopelchén,Valor,40.7,20.6,12.2
4006,4,Campeche,6,Hopelchén,Error estándar,4.2,1.2,0.9
4006,4,Campeche,6,Hopelchén,Límite inferior de confianza,33.8,18.7,10.7
4006,4,Campeche,6,Hopelchén,Límite superior de confianza,47.5,22.6,13.8
4006,4,Campeche,6,Hopelchén,Coeficiente de variación,10.2,5.8,7.7
4007,4,Campeche,7,Palizada,Valor,44.2,22.2,12.6
4007,4,Campeche,7,Palizada,Error estándar,4.1,2.5,1
4007,4,Campeche,7,Palizada,Límite inferior de confianza,37.5,18,11
4007,4,Campeche,7,Palizada,Límite superior de confianza,50.9,26.4,14.2
4007,4,Campeche,7,Palizada,Coeficiente de variación,9.2,11.4,7.8
4008,4,Campeche,8,Tenabo,Valor,44.4,29.3,16.1
4008,4,Campeche,8,Tenabo,Error estándar,2,0.3,0.9
4008,4,Campeche,8,Tenabo,Límite inferior de confianza,41,28.8,14.6
4008,4,Campeche,8,Tenabo,Límite superior de confianza,47.7,29.8,17.7
4008,4,Campeche,8,Tenabo,Coeficiente de variación,4.6,1.1,5.8
4009,4,Campeche,9,Escárcega,Valor,39.5,21.3,13.4
4009,4,Campeche,9,Escárcega,Error estándar,2.9,2.1,1
4009,4,Campeche,9,Escárcega,Límite inferior de confianza,34.7,17.9,11.7
4009,4,Campeche,9,Escárcega,Límite superior de confianza,44.4,24.7,15
4009,4,Campeche,9,Escárcega,Coeficiente de variación,7.4,9.7,7.5
4010,4,Campeche,10,Calakmul,Valor,36.8,16.2,11.1
4010,4,Campeche,10,Calakmul,Error estándar,3.9,2.5,1
4010,4,Campeche,10,Calakmul,Límite inferior de confianza,30.4,12.1,9.4
4010,4,Campeche,10,Calakmul,Límite superior de confianza,43.3,20.3,12.8
4010,4,Campeche,10,Calakmul,Coeficiente de variación,10.7,15.4,9.2
4011,4,Campeche,11,Candelaria,Valor,51,22.2,13.6
4011,4,Campeche,11,Candelaria,Error estándar,2.9,2.3,1
4011,4,Campeche,11,Candelaria,Límite inferior de confianza,46.1,18.4,11.9
4011,4,Campeche,11,Candelaria,Límite superior de confianza,55.8,26,15.3
4011,4,Campeche,11,Candelaria,Coeficiente de variación,5.7,10.4,7.6
5000,5,Coahuila de Zaragoza,0,Total,Valor,37.6,22.4,12.3
5000,5,Coahuila de Zaragoza,0,Total,Error estándar,3.3,1.4,1
5000,5,Coahuila de Zaragoza,0,Total,Límite inferior de confianza,32.1,20.1,10.6
5000,5,Coahuila de Zaragoza,0,Total,Límite superior de confianza,43.1,24.7,14.1
5000,5,Coahuila de Zaragoza,0,Total,Coeficiente de variación,8.9,6.1,12.3
5001,5,Coahuila de Zaragoza,1,Abasolo,Valor,38.4,30,13.2
5001,5,Coahuila de Zaragoza,1,Abasolo,Error estándar,4.1,2.7,1.1
5001,5,Coahuila de Zaragoza,1,Abasolo,Límite inferior de confianza,31.7,25.6,11.4
5001,5,Coahuila de Zaragoza,1,Abasolo,Límite superior de confianza,45.2,34.4,15
5001,5,Coahuila de Zaragoza,1,Abasolo,Coeficiente de variación,10.7,9,8.3
5002,5,Coahuila de Zaragoza,2,Acuña,Valor,43.2,18.5,12
5002,5,Coahuila de Zaragoza,2,Acuña,Error estándar,3.9,2.6,1
5002,5,Coahuila de Zaragoza,2,Acuña,Límite inferior de confianza,36.9,14.3,10.4
5002,5,Coahuila de Zaragoza,2,Acuña,Límite superior de confianza,49.6,22.7,13.7
5002,5,Coahuila de Zaragoza,2,Acuña,Coeficiente de variación,9,13.8,8.1
5003,5,Coahuila de Zaragoza,3,Allende,Valor,36.9,20.6,11.2
5003,5,Coahuila de Zaragoza,3,Allende,Error estándar,4.1,2.6,1
5003,5,Coahuila de Zaragoza,3,Allende,Límite inferior de confianza,30.2,16.4,9.6
5003,5,Coahuila de Zaragoza,3,Allende,Límite superior de confianza,43.6,24.8,12.8
5003,5,Coahuila de Zaragoza,3,Allende,Coeficiente de variación,11.1,12.4,8.8
5004,5,Coahuila de Zaragoza,4,Arteaga,Valor,42.5,20.8,12.5
5004,5,Coahuila de Zaragoza,4,Arteaga,Error estándar,4.1,2.5,1
5004,5,Coahuila de Zaragoza,4,Arteaga,Límite inferior de confianza,35.7,16.6,10.9
5004,5,Coahuila de Zaragoza,4,Arteaga,Límite superior de confianza,49.3,25,14.1
5004,5,Coahuila de Zaragoza,4,Arteaga,Coeficiente de variación,9.7,12.2,7.8
5005,5,Coahuila de Zaragoza,5,Candela,Valor,41.5,24.7,12.9
5005,5,Coahuila de Zaragoza,5,Candela,Error estándar,4.1,2.6,1.1
5005,5,Coahuila de Zaragoza,5,Candela,Límite inferior de confianza,34.6,20.4,11.2
5005,5,Coahuila de Zaragoza,5,Candela,Límite superior de confianza,48.3,29,14.6
5005,5,Coahuila de Zaragoza,5,Candela,Coeficiente de variación,10,10.6,8.2
5006,5,Coahuila de Zaragoza,6,Castaños,Valor,67,20.4,13.9
5006,5,Coahuila de Zaragoza,6,Castaños,Error estándar,0.7,2.7,0.8
5006,5,Coahuila de Zaragoza,6,Castaños,Límite inferior de confianza,65.8,16,12.5
5006,5,Coahuila de Zaragoza,6,Castaños,Límite superior de confianza,68.1,24.9,15.3
5006,5,Coahuila de Zaragoza,6,Castaños,Coeficiente de variación,1.1,13.2,6.1
5007,5,Coahuila de Zaragoza,7,Cuatro Ciénegas,Valor,39.2,21.3,11.8
5007,5,Coahuila de Zaragoza,7,Cuatro Ciénegas,Error estándar,4.1,2.5,1
5007,5,Coahuila de Zaragoza,7,Cuatro Ciénegas,Límite inferior de confianza,32.5,17.2,10.2
5007,5,Coahuila de Zaragoza,7,Cuatro Ciénegas,Límite superior de confianza,45.9,25.5,13.5
5007,5,Coahuila de Zaragoza,7,Cuatro Ciénegas,Coeficiente de variación,10.4,11.8,8.2
5008,5,Coahuila de Zaragoza,8,Escobedo,Valor,39.1,21.8,11.2
5008,5,Coahuila de Zaragoza,8,Escobedo,Error estándar,4.1,2.6,1
5008,5,Coahuila de Zaragoza,8,Escobedo,Límite inferior de confianza,32.3,17.6,9.5
5008,5,Coahuila de Zaragoza,8,Escobedo,Límite superior de confianza,45.9,26,12.8
5008,5,Coahuila de Zaragoza,8,Escobedo,Coeficiente de variación,10.5,11.7,9
5009,5,Coahuila de Zaragoza,9,Francisco I. Madero,Valor,38.3,21.6,12.5
5009,5,Coahuila de Zaragoza,9,Francisco I. Madero,Error estándar,4.1,2.5,1
5009,5,Coahuila de Zaragoza,9,Francisco I. Madero,Límite inferior de confianza,31.7,17.4,10.9
5009,5,Coahuila de Zaragoza,9,Francisco I. Madero,Límite superior de confianza,45,25.8,14.1
5009,5,Coahuila de Zaragoza,9,Francisco I. Madero,Coeficiente de variación,10.6,11.7,7.8
5010,5,Coahuila de Zaragoza,10,Frontera,Valor,43.9,18.9,11.2
5010,5,Coahuila de Zaragoza,10,Frontera,Error estándar,4.1,2.7,1.2
5010,5,Coahuila de Zaragoza,10,Frontera,Límite inferior de confianza,37.1,14.5,9.1
5010,5,Coahuila de Zaragoza,10,Frontera,Límite superior de confianza,50.7,23.3,13.2
5010,5,Coahuila de Zaragoza,10,Frontera,Coeficiente de variación,9.4,14.2,11
5011,5,Coahuila de Zaragoza,11,General Cepeda,Valor,43.8,23.9,12.7
5011,5,Coahuila de Zaragoza,11,General Cepeda,Error estándar,4.2,2.5,1
5011,5,Coahuila de Zaragoza,11,General Cepeda,Límite inferior de confianza,36.8,19.7,11.1
5011,5,Coahuila de Zaragoza,11,General Cepeda,Límite superior de confianza,50.8,28,14.4
5011,5,Coahuila de Zaragoza,11,General Cepeda,Coeficiente de variación,9.7,10.6,8
5012,5,Coahuila de Zaragoza,12,Guerrero,Valor,52.4,23.8,12.5
5012,5,Coahuila de Zaragoza,12,Guerrero,Error estándar,4.4,2.6,1
5012,5,Coahuila de Zaragoza,12,Guerrero,Límite inferior de confianza,45.1,19.6,10.7
5012,5,Coahuila de Zaragoza,12,Guerrero,Límite superior de confianza,59.7,28,14.2
